wo_number,equipment_id,equipment_type,wo_type,status,created_date,scheduled_date,completed_date,assigned_technician,downtime_hours,labor_hours,part_number,priority,description
WO-25306,CP-049,Centrifugal Pump,Preventive,Open,2026-01-07,2026-01-09,,Lisa Anderson,0.0,,,High,Weekly lubrication and inspection
WO-25169,B-044,Boiler,Preventive,Scheduled,2026-01-07,2026-01-09,,David Kim,0.0,,,Low,Routine maintenance and inspection
WO-24209,RA-072,Robotic Arm,Corrective,Open,2026-01-07,2026-01-11,,Mike Thompson,0.0,,FAN-904,High,Multiple seal failures - contamination issue
WO-24480,C-065,Chiller,Scheduled Inspection,Cancelled,2026-01-07,2026-01-11,,Lisa Anderson,0.0,,,Low,Multiple seal failures - contamination issue
WO-24590,HS-021,HVAC System,Preventive,Open,2026-01-07,2026-01-12,,John Martinez,0.0,,,High,Quarterly maintenance cycle
WO-25026,RA-072,Robotic Arm,Corrective,In Progress,2026-01-07,2026-01-10,,Robert Johnson,7.4,,,Medium,Belt tracking issue - alignment needed
WO-25634,B-016,Blower,Preventive,In Progress,2026-01-07,2026-01-12,,Robert Johnson,0.0,,,Medium,Weekly lubrication and inspection
WO-24856,CT-005,Cooling Tower,Preventive,Completed,2026-01-07,2026-01-12,2026-01-12,John Martinez,0.0,2.0,BEA-636,Low,Annual inspection and coating check
WO-25155,M-061,Mixer,Preventive,Completed,2026-01-06,2026-01-11,2026-01-14,Emily Davis,0.0,4.0,CYL-438,Critical,Routine maintenance and inspection
WO-25209,B-045,Blower,Preventive,In Progress,2026-01-06,2026-01-09,,Robert Johnson,0.0,,,High,Quarterly maintenance cycle
WO-25112,F-076,Forklift,Preventive,Open,2026-01-06,2026-01-11,,Maria Garcia,0.0,,,Medium,Monthly filter replacement
WO-24507,C-099,Chiller,Corrective,Open,2026-01-06,2026-01-07,,Mike Thompson,0.0,,,Medium,Hydraulic cylinder failure - production down
WO-25059,B-038,Boiler,Corrective,In Progress,2026-01-06,2026-01-11,,John Martinez,0.0,,HOS-515,Medium,Unloader valve failure - compressor cycling
WO-25652,M-084,Mixer,Corrective,In Progress,2026-01-06,2026-01-10,,Jennifer Lee,3.6,,VAL-926,Critical,Bearing seizure - replacement required
WO-24112,RA-093,Robotic Arm,Corrective,Scheduled,2026-01-06,2026-01-09,,Sarah Chen,6.1,,,High,Hydraulic cylinder failure - production down
WO-24215,B-098,Blower,Preventive,Scheduled,2026-01-05,2026-01-08,,James Wilson,0.0,,ENC-221,Medium,Monthly filter replacement
WO-25218,M-041,Mixer,Corrective,In Progress,2026-01-05,2026-01-09,,Jennifer Lee,2.3,,BEL-933,Low,Hydraulic cylinder failure - production down
WO-24388,M-003,Mixer,Emergency,Open,2026-01-05,2026-01-08,,Robert Johnson,10.9,,,Medium,Belt tracking issue - alignment needed
WO-24556,F-034,Forklift,Preventive,Open,2026-01-04,2026-01-07,,John Martinez,0.0,,,Low,Quarterly maintenance cycle
WO-25360,HP-075,Hydraulic Pump,Preventive,Completed,2026-01-04,2026-01-08,2026-01-09,James Wilson,0.0,4.9,,Medium,Monthly calibration check
WO-25321,CP-057,Centrifugal Pump,Corrective,Open,2026-01-04,2026-01-07,,Emily Davis,1.2,,,Medium,Replace mechanical seal - excessive leaking
WO-25746,CT-005,Cooling Tower,Scheduled Inspection,Completed,2026-01-04,2026-01-06,2026-01-09,Emily Davis,0.0,4.0,,Medium,Main drive bearing failure - emergency repair
WO-25312,HP-100,Hydraulic Pump,Preventive,In Progress,2026-01-04,2026-01-09,,James Wilson,0.0,,,Medium,Quarterly maintenance cycle
WO-25674,F-035,Forklift,Preventive,In Progress,2026-01-04,2026-01-06,,David Kim,0.0,,,Medium,Monthly calibration check
WO-24385,ST-033,Storage Tank,Corrective,Open,2026-01-04,2026-01-08,,Jennifer Lee,0.0,,MOT-730,Medium,Main drive bearing failure - emergency repair
WO-24532,B-044,Boiler,Preventive,Completed,2026-01-04,2026-01-05,2026-01-05,Maria Garcia,0.0,4.0,,Low,Quarterly maintenance cycle
WO-24217,CP-086,Centrifugal Pump,Scheduled Inspection,Scheduled,2026-01-04,2026-01-05,,Jennifer Lee,0.0,,,Low,Motor overheating - thermal relay replaced
WO-24682,B-043,Blower,Preventive,Cancelled,2026-01-04,2026-01-07,,Mike Thompson,0.0,,FIL-396,Medium,Annual inspection and coating check
WO-25004,M-030,Mixer,Preventive,Scheduled,2026-01-04,2026-01-05,,Mike Thompson,0.0,,,Low,Quarterly maintenance cycle
WO-24216,C-052,Crane,Corrective,In Progress,2026-01-03,2026-01-07,,Sarah Chen,17.1,,,Medium,Replace mechanical seal - excessive leaking
WO-25223,CP-011,Centrifugal Pump,Corrective,Completed,2026-01-03,2026-01-07,2026-01-10,James Wilson,0.0,4.1,,Critical,Hydraulic cylinder failure - production down
WO-25122,CP-054,Centrifugal Pump,Scheduled Inspection,Completed,2026-01-03,2026-01-05,2026-01-07,Jennifer Lee,0.0,2.7,,Low,Hydraulic cylinder failure - production down
WO-24033,CP-049,Centrifugal Pump,Corrective,In Progress,2026-01-03,2026-01-08,,Jennifer Lee,14.9,,,Critical,Bearing seizure - replacement required
WO-24518,HS-058,HVAC System,Corrective,In Progress,2026-01-03,2026-01-05,,Mike Thompson,12.9,,FIL-511,Medium,Unloader valve failure - compressor cycling
WO-25513,B-038,Boiler,Corrective,Completed,2026-01-03,2026-01-08,2026-01-11,Robert Johnson,9.4,16.4,FAN-419,Medium,Motor overheating - thermal relay replaced
WO-24233,F-048,Forklift,Corrective,Scheduled,2026-01-03,2026-01-05,,John Martinez,9.7,,ENC-960,Critical,Multiple seal failures - contamination issue
WO-25344,HP-088,Hydraulic Press,Preventive,Completed,2026-01-02,2026-01-03,2026-01-04,Robert Johnson,0.0,4.6,,Low,Routine maintenance and inspection
WO-25738,HP-062,Hydraulic Press,Preventive,Completed,2026-01-02,2026-01-07,2026-01-10,Emily Davis,0.0,4.6,,High,Quarterly PM - filters and oil change
WO-25447,CB-091,Conveyor Belt,Preventive,Completed,2026-01-02,2026-01-05,2026-01-06,John Martinez,0.0,2.2,BEL-447,Medium,Quarterly maintenance cycle
WO-24995,HS-071,HVAC System,Scheduled Inspection,Completed,2026-01-02,2026-01-05,2026-01-05,Lisa Anderson,0.0,1.1,,Medium,Pressure relief valve replacement
WO-24688,C-065,Chiller,Corrective,Completed,2026-01-02,2026-01-04,2026-01-07,James Wilson,0.0,3.3,,High,Pressure relief valve replacement
WO-25450,G-047,Gearbox,Preventive,Completed,2026-01-02,2026-01-04,2026-01-07,David Kim,0.0,3.9,,Medium,Monthly calibration check
WO-24825,B-055,Boiler,Preventive,Completed,2026-01-02,2026-01-06,2026-01-06,Jennifer Lee,0.0,1.2,MOT-358,Medium,Quarterly maintenance cycle
WO-24526,C-099,Chiller,Corrective,Completed,2026-01-02,2026-01-06,2026-01-07,Sarah Chen,13.8,19.0,,Medium,Replace mechanical seal - excessive leaking
WO-24200,EM-078,Electric Motor,Preventive,Scheduled,2026-01-01,2026-01-06,,James Wilson,0.0,,,Low,Weekly lubrication and inspection
WO-24895,RA-094,Robotic Arm,Preventive,Completed,2026-01-01,2026-01-04,2026-01-06,Robert Johnson,0.0,4.7,,High,Weekly lubrication and inspection
WO-25725,B-043,Blower,Corrective,Completed,2026-01-01,2026-01-06,2026-01-07,Maria Garcia,15.6,23.6,CYL-850,Critical,Unloader valve failure - compressor cycling
WO-24187,CP-087,Centrifugal Pump,Preventive,Completed,2026-01-01,2026-01-02,2026-01-05,Emily Davis,0.0,4.7,,Critical,Monthly calibration check
WO-25518,M-059,Mixer,Preventive,In Progress,2026-01-01,2026-01-03,,Jennifer Lee,0.0,,ENC-233,Medium,Annual inspection and coating check
WO-24614,B-073,Blower,Preventive,Completed,2026-01-01,2026-01-06,2026-01-08,Jennifer Lee,0.0,2.5,,Medium,Annual inspection and coating check
WO-25182,G-047,Gearbox,Corrective,In Progress,2026-01-01,2026-01-03,,Lisa Anderson,0.0,,BEL-933,High,Replace mechanical seal - excessive leaking
WO-24806,B-016,Blower,Corrective,Scheduled,2026-01-01,2026-01-04,,Robert Johnson,14.2,,VAL-226,High,Multiple seal failures - contamination issue
WO-24343,CP-015,Centrifugal Pump,Preventive,Open,2026-01-01,2026-01-05,,David Kim,0.0,,THE-354,Medium,Annual inspection and coating check
WO-24703,HP-088,Hydraulic Press,Corrective,Completed,2026-01-01,2026-01-02,2026-01-02,John Martinez,16.0,24.6,SER-743,Medium,Hydraulic cylinder failure - production down
WO-25549,HP-100,Hydraulic Pump,Corrective,Completed,2026-01-01,2026-01-05,2026-01-07,Mike Thompson,2.0,4.5,,Medium,Belt tracking issue - alignment needed
WO-24056,RA-050,Robotic Arm,Preventive,Completed,2026-01-01,2026-01-03,2026-01-03,Sarah Chen,0.0,3.9,,Medium,Weekly lubrication and inspection
WO-25185,HP-100,Hydraulic Pump,Corrective,Open,2025-12-31,2026-01-03,,James Wilson,15.4,,,Critical,Pressure relief valve replacement
WO-24585,F-004,Forklift,Preventive,In Progress,2025-12-31,2026-01-02,,Maria Garcia,0.0,,,Low,Monthly filter replacement
WO-24195,C-097,Crane,Corrective,Completed,2025-12-31,2026-01-03,2026-01-03,Maria Garcia,17.6,26.8,SEA-609,Critical,Hydraulic cylinder failure - production down
WO-25144,C-081,Crane,Scheduled Inspection,Open,2025-12-30,2025-12-31,,Jennifer Lee,0.0,,,High,Main drive bearing failure - emergency repair
WO-24779,RA-050,Robotic Arm,Preventive,Completed,2025-12-30,2026-01-03,2026-01-03,Robert Johnson,0.0,3.7,,Medium,Quarterly PM - filters and oil change
WO-25091,B-098,Blower,Corrective,Completed,2025-12-30,2025-12-31,2026-01-02,James Wilson,3.4,7.2,ENC-960,High,Main drive bearing failure - emergency repair
WO-25260,RA-094,Robotic Arm,Preventive,Completed,2025-12-30,2026-01-04,2026-01-07,John Martinez,0.0,3.1,ENC-960,High,Weekly lubrication and inspection
WO-25236,M-059,Mixer,Preventive,Completed,2025-12-30,2026-01-03,2026-01-06,David Kim,0.0,1.1,IMP-296,Critical,Weekly lubrication and inspection
WO-25121,RA-093,Robotic Arm,Corrective,Completed,2025-12-30,2026-01-03,2026-01-05,Lisa Anderson,0.0,2.9,HOS-880,High,Main drive bearing failure - emergency repair
WO-25568,CB-079,Conveyor Belt,Corrective,In Progress,2025-12-30,2026-01-03,,John Martinez,0.0,,PUM-505,Critical,Main drive bearing failure - emergency repair
WO-25466,B-073,Blower,Scheduled Inspection,Completed,2025-12-30,2026-01-02,2026-01-02,Lisa Anderson,0.0,3.4,,Medium,Pressure relief valve replacement
WO-24515,B-070,Boiler,Preventive,Completed,2025-12-30,2026-01-01,2026-01-01,Sarah Chen,0.0,2.4,,Medium,Quarterly maintenance cycle
WO-25048,CT-013,Cooling Tower,Preventive,In Progress,2025-12-30,2026-01-01,,John Martinez,0.0,,FAN-529,High,Quarterly PM - filters and oil change
WO-24861,B-045,Blower,Corrective,Completed,2025-12-30,2026-01-04,2026-01-06,James Wilson,0.0,3.2,THE-676,Medium,Multiple seal failures - contamination issue
WO-24618,CP-015,Centrifugal Pump,Corrective,Completed,2025-12-30,2026-01-01,2026-01-02,John Martinez,0.0,4.2,COI-949,Low,Multiple seal failures - contamination issue
WO-25749,G-047,Gearbox,Corrective,Completed,2025-12-30,2026-01-01,2026-01-04,Sarah Chen,0.0,3.7,CYL-248,High,Replace mechanical seal - excessive leaking
WO-24735,CP-015,Centrifugal Pump,Corrective,Completed,2025-12-30,2026-01-01,2026-01-04,Robert Johnson,2.0,6.7,COI-878,High,Seal leaking - parts ordered
WO-24876,CP-042,Centrifugal Pump,Corrective,Completed,2025-12-29,2025-12-30,2026-01-01,Mike Thompson,5.3,8.6,FAN-936,High,Belt tracking issue - alignment needed
WO-24222,CT-013,Cooling Tower,Preventive,Completed,2025-12-29,2025-12-31,2026-01-02,John Martinez,0.0,2.5,PUM-148,Critical,Quarterly maintenance cycle
WO-24749,B-073,Blower,Corrective,Completed,2025-12-29,2026-01-02,2026-01-04,Emily Davis,7.0,13.9,,Medium,Main drive bearing failure - emergency repair
WO-24394,C-090,Crane,Preventive,Completed,2025-12-29,2025-12-30,2026-01-01,John Martinez,0.0,3.6,BEL-366,Low,Quarterly PM - filters and oil change
WO-24643,C-052,Crane,Corrective,Completed,2025-12-29,2025-12-31,2025-12-31,David Kim,0.0,3.9,,Critical,Unloader valve failure - compressor cycling
WO-24331,HS-012,HVAC System,Corrective,In Progress,2025-12-29,2026-01-03,,David Kim,2.6,,SEA-942,Critical,Main drive bearing failure - emergency repair
WO-25525,M-019,Mixer,Corrective,Completed,2025-12-29,2026-01-01,2026-01-02,Maria Garcia,11.8,17.6,,Critical,Pressure relief valve replacement
WO-24477,C-099,Chiller,Corrective,Open,2025-12-29,2026-01-01,,John Martinez,14.2,,,Critical,Hydraulic cylinder failure - production down
WO-24765,HP-088,Hydraulic Press,Corrective,Open,2025-12-28,2025-12-29,,Maria Garcia,2.5,,,High,Motor overheating - thermal relay replaced
WO-25273,C-037,Chiller,Preventive,Completed,2025-12-28,2026-01-02,2026-01-05,Sarah Chen,0.0,2.2,,Medium,Monthly filter replacement
WO-24786,RA-094,Robotic Arm,Corrective,Completed,2025-12-28,2025-12-30,2025-12-30,Maria Garcia,16.8,25.2,,High,Seal leaking - parts ordered
WO-24504,HS-071,HVAC System,Preventive,Completed,2025-12-28,2025-12-31,2026-01-01,Sarah Chen,0.0,3.0,,Medium,Weekly lubrication and inspection
WO-24249,B-070,Boiler,Preventive,Cancelled,2025-12-28,2025-12-30,,Mike Thompson,0.0,,,Medium,Monthly calibration check
WO-25586,M-030,Mixer,Emergency,Completed,2025-12-28,2025-12-29,2025-12-31,Mike Thompson,13.4,22.4,,High,Belt tracking issue - alignment needed
WO-24679,B-025,Boiler,Preventive,Completed,2025-12-28,2026-01-02,2026-01-02,Lisa Anderson,0.0,3.1,MOT-836,Medium,Monthly calibration check
WO-24663,C-090,Crane,Scheduled Inspection,Completed,2025-12-28,2026-01-01,2026-01-01,Sarah Chen,0.0,3.8,,Medium,Unloader valve failure - compressor cycling
WO-24057,CT-005,Cooling Tower,Preventive,Completed,2025-12-28,2026-01-01,2026-01-01,John Martinez,0.0,4.3,,Critical,Routine maintenance and inspection
WO-25624,HP-100,Hydraulic Pump,Corrective,Cancelled,2025-12-28,2026-01-02,,Emily Davis,10.4,,THE-425,Medium,Pressure relief valve replacement
WO-24019,CP-087,Centrifugal Pump,Scheduled Inspection,Completed,2025-12-28,2025-12-29,2025-12-31,Sarah Chen,0.0,4.2,,High,Belt tracking issue - alignment needed
WO-25216,C-099,Chiller,Scheduled Inspection,Open,2025-12-27,2025-12-30,,Jennifer Lee,0.0,,,Low,Replace mechanical seal - excessive leaking
WO-25708,F-095,Forklift,Preventive,Completed,2025-12-27,2025-12-29,2025-12-31,John Martinez,0.0,1.8,,Low,Quarterly maintenance cycle
WO-25148,C-099,Chiller,Corrective,Completed,2025-12-27,2025-12-29,2026-01-01,Maria Garcia,6.7,10.6,HOS-126,High,Motor overheating - thermal relay replaced
WO-24227,CT-089,Cooling Tower,Scheduled Inspection,Completed,2025-12-27,2025-12-30,2025-12-30,James Wilson,0.0,1.2,,Low,Bearing seizure - replacement required
WO-24998,B-038,Boiler,Corrective,Completed,2025-12-27,2026-01-01,2026-01-01,Jennifer Lee,16.1,24.9,,Medium,Pressure relief valve replacement
WO-25552,F-040,Forklift,Preventive,Completed,2025-12-27,2026-01-01,2026-01-03,Jennifer Lee,0.0,4.9,,Low,Monthly filter replacement
WO-25776,ST-033,Storage Tank,Scheduled Inspection,In Progress,2025-12-27,2025-12-31,,Emily Davis,0.0,,,Medium,Pressure relief valve replacement
WO-24017,RA-093,Robotic Arm,Preventive,Scheduled,2025-12-27,2025-12-31,,Jennifer Lee,0.0,,,Medium,Monthly filter replacement
WO-24147,EM-078,Electric Motor,Corrective,Scheduled,2025-12-27,2025-12-30,,David Kim,8.7,,,Critical,Pressure relief valve replacement
WO-25576,RA-074,Robotic Arm,Corrective,In Progress,2025-12-27,2025-12-28,,Mike Thompson,13.8,,SER-901,Low,Replace mechanical seal - excessive leaking
WO-25623,RA-093,Robotic Arm,Corrective,Completed,2025-12-26,2025-12-31,2025-12-31,Emily Davis,0.0,4.3,FIL-654,High,Pressure relief valve replacement
WO-24316,HP-075,Hydraulic Pump,Preventive,Completed,2025-12-26,2025-12-28,2025-12-29,John Martinez,0.0,3.9,THE-694,Medium,Weekly lubrication and inspection
WO-25302,HS-012,HVAC System,Scheduled Inspection,Completed,2025-12-26,2025-12-29,2025-12-30,Robert Johnson,0.0,1.2,,Low,Belt tracking issue - alignment needed
WO-25213,B-070,Boiler,Scheduled Inspection,Completed,2025-12-26,2025-12-28,2025-12-28,Lisa Anderson,0.0,4.9,,Low,Bearing seizure - replacement required
WO-24238,CP-054,Centrifugal Pump,Corrective,In Progress,2025-12-26,2025-12-29,,Emily Davis,15.0,,BEL-442,Medium,Multiple seal failures - contamination issue
WO-24758,CT-013,Cooling Tower,Corrective,Completed,2025-12-26,2025-12-27,2025-12-28,Emily Davis,15.4,22.9,SEA-250,High,Motor overheating - thermal relay replaced
WO-24125,B-028,Boiler,Corrective,Completed,2025-12-26,2025-12-29,2025-12-30,Maria Garcia,3.7,8.1,CYL-950,Medium,Seal leaking - parts ordered
WO-25658,B-069,Boiler,Preventive,Completed,2025-12-26,2025-12-28,2025-12-28,Mike Thompson,0.0,2.7,,Medium,Routine maintenance and inspection
WO-24487,F-095,Forklift,Preventive,Scheduled,2025-12-26,2025-12-28,,John Martinez,0.0,,,Low,Monthly calibration check
WO-24587,HP-009,Hydraulic Press,Corrective,In Progress,2025-12-26,2025-12-28,,David Kim,0.0,,SEA-436,Critical,Belt tracking issue - alignment needed
WO-24691,EM-078,Electric Motor,Corrective,Completed,2025-12-26,2025-12-29,2026-01-01,Jennifer Lee,0.0,4.1,,Medium,Seal leaking - parts ordered
WO-25265,RA-032,Robotic Arm,Preventive,Completed,2025-12-26,2025-12-29,2026-01-01,Jennifer Lee,0.0,4.1,,Medium,Weekly lubrication and inspection
WO-25383,AC-014,Air Compressor,Corrective,Completed,2025-12-26,2025-12-27,2025-12-30,Jennifer Lee,0.0,4.3,COM-548,Medium,Bearing seizure - replacement required
WO-24001,HS-071,HVAC System,Corrective,Scheduled,2025-12-25,2025-12-27,,John Martinez,0.0,,,Medium,Unloader valve failure - compressor cycling
WO-24228,M-041,Mixer,Preventive,Completed,2025-12-25,2025-12-30,2025-12-30,Mike Thompson,0.0,2.8,,Medium,Routine maintenance and inspection
WO-25277,B-038,Boiler,Preventive,Completed,2025-12-25,2025-12-26,2025-12-26,John Martinez,0.0,3.9,,Low,Monthly calibration check
WO-25665,C-080,Chiller,Preventive,Open,2025-12-25,2025-12-26,,John Martinez,0.0,,BEL-350,Medium,Quarterly PM - filters and oil change
WO-24498,HP-062,Hydraulic Press,Preventive,In Progress,2025-12-25,2025-12-29,,Mike Thompson,0.0,,FIL-632,High,Monthly filter replacement
WO-25494,F-004,Forklift,Preventive,In Progress,2025-12-25,2025-12-30,,James Wilson,0.0,,,Medium,Quarterly PM - filters and oil change
WO-24500,C-090,Crane,Scheduled Inspection,In Progress,2025-12-25,2025-12-28,,Emily Davis,0.0,,,Medium,Belt tracking issue - alignment needed
WO-24681,M-059,Mixer,Preventive,Completed,2025-12-25,2025-12-30,2025-12-30,Emily Davis,0.0,3.0,,Medium,Quarterly maintenance cycle
WO-24832,G-047,Gearbox,Corrective,Completed,2025-12-25,2025-12-30,2025-12-30,Emily Davis,15.8,22.9,SER-461,Critical,Seal leaking - parts ordered
WO-25717,RA-032,Robotic Arm,Preventive,Completed,2025-12-25,2025-12-30,2026-01-02,James Wilson,0.0,4.8,COI-596,High,Monthly calibration check
WO-25613,RA-072,Robotic Arm,Corrective,Completed,2025-12-25,2025-12-28,2025-12-29,Sarah Chen,16.4,23.8,,Critical,Unloader valve failure - compressor cycling
WO-25354,HP-075,Hydraulic Pump,Preventive,In Progress,2025-12-24,2025-12-29,,Jennifer Lee,0.0,,,Medium,Routine maintenance and inspection
WO-25331,C-046,Crane,Corrective,Completed,2025-12-24,2025-12-28,2025-12-31,Lisa Anderson,2.6,6.4,HOS-177,Medium,Belt tracking issue - alignment needed
WO-24858,HS-002,HVAC System,Corrective,Completed,2025-12-24,2025-12-28,2025-12-31,Emily Davis,8.9,13.1,,High,Seal leaking - parts ordered
WO-24027,CT-089,Cooling Tower,Preventive,Cancelled,2025-12-24,2025-12-25,,Robert Johnson,0.0,,,High,Monthly filter replacement
WO-24870,M-030,Mixer,Preventive,Completed,2025-12-24,2025-12-27,2025-12-30,Jennifer Lee,0.0,4.4,SEA-298,Medium,Routine maintenance and inspection
WO-25280,G-092,Gearbox,Preventive,Completed,2025-12-24,2025-12-26,2025-12-27,Emily Davis,0.0,3.3,,Medium,Annual inspection and coating check
WO-24173,HP-007,Hydraulic Pump,Corrective,Completed,2025-12-24,2025-12-25,2025-12-27,Maria Garcia,18.3,27.2,ENC-221,Low,Hydraulic cylinder failure - production down
WO-25638,M-041,Mixer,Preventive,Completed,2025-12-23,2025-12-27,2025-12-27,Mike Thompson,0.0,1.5,,Medium,Monthly filter replacement
WO-24419,C-080,Chiller,Corrective,In Progress,2025-12-23,2025-12-24,,Lisa Anderson,17.2,,,Low,Pressure relief valve replacement
WO-25790,RA-050,Robotic Arm,Emergency,Completed,2025-12-23,2025-12-26,2025-12-29,John Martinez,0.0,3.0,,Low,Pressure relief valve replacement
WO-25792,F-095,Forklift,Corrective,Open,2025-12-23,2025-12-27,,John Martinez,5.1,,,High,Multiple seal failures - contamination issue
WO-25211,CP-008,Centrifugal Pump,Corrective,In Progress,2025-12-23,2025-12-26,,Maria Garcia,6.8,,HOS-429,Critical,Replace mechanical seal - excessive leaking
WO-25414,B-055,Boiler,Emergency,Scheduled,2025-12-23,2025-12-28,,John Martinez,0.0,,,High,Belt tracking issue - alignment needed
WO-24363,CP-066,Centrifugal Pump,Emergency,Completed,2025-12-23,2025-12-27,2025-12-27,David Kim,12.4,21.0,,High,Pressure relief valve replacement
WO-25396,CP-008,Centrifugal Pump,Scheduled Inspection,Completed,2025-12-23,2025-12-26,2025-12-26,Robert Johnson,0.0,1.6,,High,Seal leaking - parts ordered
WO-25774,RA-093,Robotic Arm,Corrective,Completed,2025-12-23,2025-12-28,2025-12-31,Robert Johnson,8.1,13.3,,Low,Seal leaking - parts ordered
WO-24701,AC-014,Air Compressor,Scheduled Inspection,Completed,2025-12-23,2025-12-28,2025-12-29,Jennifer Lee,0.0,2.2,,Medium,Seal leaking - parts ordered
