part_number,part_description,category,quantity_on_hand,reorder_point,unit_cost,location_bin,last_ordered_date
BEA-130,Pillow Block Bearing,Bearings,30,12,104.57,A-16-A,2025-12-07
ENC-131,Rotary Encoder,Encoders,26,8,876.32,E-13-B,2025-09-04
FAN-132,Exhaust Fan,Fans,17,13,431.28,A-14-C,2025-12-27
MOT-133,Servo Motor,Motors,3,18,546.5,B-04-C,2025-08-09
FIL-134,Fuel Filter,Filters,16,18,35.91,E-07-B,
FAN-135,Centrifugal Fan,Fans,24,20,250.25,C-20-B,2025-08-29
SER-136,Servo Drive,Servos,15,14,1947.39,E-19-A,2025-11-07
FAN-137,Axial Fan 24in,Fans,11,14,245.82,E-08-D,2025-07-26
VAL-138,Pressure Relief Valve,Valves,26,12,109.52,A-11-C,2025-12-27
FIL-139,Hydraulic Filter 10 Micron,Filters,5,8,35.54,D-07-D,
FAN-140,Cooling Fan,Fans,6,12,432.69,C-20-A,2025-10-24
HOS-141,Water Hose,Hoses,24,7,49.91,E-03-D,2025-10-16
ENC-142,Rotary Encoder,Encoders,2,6,677.55,D-04-B,
CYL-143,Tie-Rod Cylinder,Cylinders,8,17,804.13,D-07-D,
BEL-144,Serpentine Belt,Belts,10,12,63.75,E-19-A,2025-08-18
THE-145,Wireless Thermostat,Thermostats,29,6,151.84,A-16-B,2025-09-19
BEA-146,Pillow Block Bearing,Bearings,22,15,85.52,E-09-C,
PUM-147,Submersible Pump,Pumps,29,5,856.57,F-19-A,2025-08-14
PUM-148,Diaphragm Pump,Pumps,25,10,929.48,B-02-D,
ENC-149,Rotary Encoder,Encoders,9,8,1049.0,E-07-B,2025-09-12
VAL-150,Solenoid Valve 24V,Valves,7,9,166.02,E-14-D,2025-07-26
SER-151,Servo Controller,Servos,4,14,1379.41,B-07-A,2025-07-16
MOT-152,Servo Motor,Motors,3,16,552.61,B-08-B,2025-11-03
VAL-153,Solenoid Valve 24V,Valves,8,5,193.59,B-15-A,2025-12-08
FIL-154,Fuel Filter,Filters,6,17,53.57,F-02-C,2025-12-13
ENC-155,Linear Encoder,Encoders,21,12,847.96,B-04-C,2025-11-06
CYL-156,Tie-Rod Cylinder,Cylinders,10,20,663.71,D-07-D,2025-12-11
PUM-157,Gear Pump,Pumps,29,18,1316.94,C-04-C,
BEL-158,Flat Belt 6in,Belts,4,20,72.66,F-16-D,
COI-159,Condenser Coil,Coils,1,17,527.2,D-19-D,2025-08-22
VAL-160,Pressure Relief Valve,Valves,3,8,136.72,C-03-D,2025-10-07
SER-161,Servo Motor 2kW,Servos,9,7,1769.95,F-05-B,
FIL-162,Air Filter Element,Filters,24,15,63.41,D-14-A,2025-10-25
IMP-163,Pump Impeller 6in,Impellers,12,16,324.33,D-02-A,2025-12-07
SER-164,Servo Gearbox,Servos,28,12,1418.4,B-06-A,
ENC-165,Rotary Encoder,Encoders,12,11,1088.85,D-17-D,2025-07-30
COI-166,Cooling Coil,Coils,15,13,334.06,A-02-A,2025-11-11
FIL-167,Hydraulic Filter 10 Micron,Filters,18,16,58.87,E-01-A,
SER-168,Servo Drive,Servos,5,7,1434.15,B-16-B,2025-10-01
FAN-169,Cooling Fan,Fans,2,10,310.83,B-12-C,
FIL-170,Fuel Filter,Filters,10,9,60.6,A-03-D,2025-09-12
IMP-171,Pump Impeller 6in,Impellers,16,13,256.86,A-11-A,
SEA-172,Face Seal Assembly,Seals,7,11,251.15,F-03-A,
VAL-173,Pressure Relief Valve,Valves,0,10,148.41,C-19-C,2025-12-23
BEL-174,Timing Belt,Belts,8,20,75.81,B-17-A,2025-12-29
VAL-175,Check Valve 2in,Valves,2,6,105.19,C-10-A,
ENC-176,Absolute Encoder,Encoders,26,15,1019.45,B-19-A,2025-12-01
HOS-177,Air Hose 50ft,Hoses,5,6,53.11,A-18-C,
COM-178,Screw Compressor,Compressors,27,9,1949.1,A-03-D,2025-09-20
BEA-179,Thrust Bearing,Bearings,4,6,105.4,C-18-B,2025-11-10
MOT-180,Servo Motor,Motors,25,15,617.93,A-06-D,2025-09-26
SEA-181,Face Seal Assembly,Seals,21,14,243.28,D-06-D,
CYL-182,Hydraulic Cylinder 4in,Cylinders,18,12,1028.0,E-05-C,2025-12-15
CYL-183,Pneumatic Cylinder,Cylinders,30,14,740.31,E-17-D,2025-09-24
HOS-184,Hydraulic Hose 1/2in,Hoses,17,8,72.59,A-12-B,
ENC-185,Incremental Encoder,Encoders,11,5,957.56,C-04-A,2025-12-16
VAL-186,Solenoid Valve 24V,Valves,24,8,125.61,F-15-D,2025-10-26
IMP-187,Open Impeller,Impellers,9,17,355.77,B-17-A,2025-09-26
SEA-188,Face Seal Assembly,Seals,24,7,257.41,F-19-A,
PUM-189,Submersible Pump,Pumps,14,19,928.26,B-14-C,
FAN-190,Centrifugal Fan,Fans,14,14,256.83,D-07-A,2025-07-20
CYL-191,Pneumatic Cylinder,Cylinders,10,15,777.01,E-18-A,2025-12-26
PUM-192,Submersible Pump,Pumps,23,7,1172.16,B-16-A,2025-09-01
ENC-193,Absolute Encoder,Encoders,7,19,1028.12,C-09-B,2025-10-30
COM-194,Screw Compressor,Compressors,9,20,2369.74,B-11-D,2025-09-11
IMP-195,Closed Impeller,Impellers,8,18,271.98,B-19-C,2025-11-18
ENC-196,Linear Encoder,Encoders,27,19,1124.85,A-04-A,2025-11-01
MOT-197,Servo Motor,Motors,14,18,643.19,E-15-B,2025-08-25
HOS-198,Chemical Transfer Hose,Hoses,7,7,54.88,D-04-A,2025-10-25
CYL-199,Tie-Rod Cylinder,Cylinders,7,16,651.18,E-03-D,2025-07-17
THE-200,Programmable Thermostat,Thermostats,20,7,127.03,B-01-B,
VAL-201,Ball Valve 1/2in,Valves,24,12,112.0,B-05-C,2026-01-04
SER-202,Servo Drive,Servos,25,17,1656.72,F-14-D,
BEL-203,Flat Belt 6in,Belts,13,13,84.82,B-18-B,2025-08-16
COI-204,Cooling Coil,Coils,8,18,450.88,B-16-D,
MOT-205,DC Motor 3HP,Motors,10,18,467.25,F-16-C,
THE-206,Wireless Thermostat,Thermostats,22,14,220.82,A-01-C,2025-10-17
COM-207,Rotary Compressor,Compressors,28,18,1758.48,E-04-C,2025-08-23
ENC-208,Rotary Encoder,Encoders,18,9,993.64,B-16-A,2025-12-26
IMP-209,Semi-Open Impeller,Impellers,29,17,339.8,B-08-A,2025-11-08
BEL-210,Serpentine Belt,Belts,10,13,77.24,F-18-D,2025-09-28
COM-211,Screw Compressor,Compressors,19,6,1836.44,E-17-D,2025-08-26
CYL-212,Pneumatic Cylinder,Cylinders,12,12,1031.59,A-14-B,
VAL-213,Pressure Relief Valve,Valves,21,8,176.57,C-20-B,
COI-214,Cooling Coil,Coils,9,9,342.03,C-12-A,2025-10-23
BEL-215,Timing Belt,Belts,19,18,84.91,C-16-B,2025-09-09
FAN-216,Centrifugal Fan,Fans,20,8,335.61,F-20-B,2025-08-10
ENC-217,Linear Encoder,Encoders,18,6,729.54,B-08-C,2025-10-09
SER-218,Servo Gearbox,Servos,10,12,2181.81,A-15-B,2025-08-13
HOS-219,Chemical Transfer Hose,Hoses,12,10,72.37,B-18-C,2025-07-16
BEL-220,Flat Belt 6in,Belts,16,7,74.48,D-14-B,2025-07-25
ENC-221,Incremental Encoder,Encoders,8,10,1121.14,D-08-C,2025-11-30
FIL-222,Fuel Filter,Filters,20,12,50.29,E-12-D,2026-01-06
HOS-223,Hydraulic Hose 1/2in,Hoses,14,13,46.53,C-08-A,2025-12-20
THE-224,Analog Thermostat,Thermostats,4,9,214.72,A-15-A,2025-11-03
ENC-225,Rotary Encoder,Encoders,19,9,1140.8,E-13-D,2025-12-16
VAL-226,Ball Valve 1/2in,Valves,17,15,168.34,B-10-D,
BEL-227,Serpentine Belt,Belts,6,14,65.76,D-19-B,2025-10-14
ENC-228,Rotary Encoder,Encoders,20,19,856.32,C-12-C,2025-12-10
PUM-229,Diaphragm Pump,Pumps,14,6,1293.53,D-18-B,
SEA-230,Face Seal Assembly,Seals,8,20,196.87,A-20-C,
HOS-231,Air Hose 50ft,Hoses,8,20,68.5,E-16-D,
COI-232,Evaporator Coil,Coils,6,7,315.34,E-07-D,2025-08-14
ENC-233,Rotary Encoder,Encoders,22,20,703.71,C-20-A,2025-11-13
ENC-234,Absolute Encoder,Encoders,15,12,717.91,F-12-D,2025-08-23
VAL-235,Pressure Relief Valve,Valves,26,17,192.04,D-19-A,2026-01-06
PUM-236,Gear Pump,Pumps,16,10,1371.63,F-02-C,
BEL-237,Timing Belt,Belts,4,19,62.49,D-07-C,2025-12-21
BEL-238,Flat Belt 6in,Belts,19,17,77.65,A-18-A,2025-09-22
COI-239,Cooling Coil,Coils,9,10,342.45,F-05-C,2025-09-13
BEA-240,Thrust Bearing,Bearings,13,16,97.46,B-09-D,2025-12-21
FIL-241,Air Filter Element,Filters,30,18,61.74,D-03-A,
SER-242,Servo Drive,Servos,18,16,2007.34,B-20-D,2025-09-05
COM-243,Rotary Compressor,Compressors,16,12,3128.38,F-11-B,
HOS-244,Air Hose 50ft,Hoses,30,10,67.48,A-12-B,2025-10-08
MOT-245,AC Motor 5HP,Motors,26,8,585.02,D-13-B,2025-10-29
SEA-246,Shaft Seal Kit,Seals,20,8,150.91,F-20-A,2025-07-23
PUM-247,Diaphragm Pump,Pumps,7,18,1158.38,E-12-A,
CYL-248,Pneumatic Cylinder,Cylinders,0,15,735.57,D-13-D,2025-08-08
BEL-249,V-Belt A-Section,Belts,20,16,75.56,D-08-B,2025-12-26
SEA-250,Shaft Seal Kit,Seals,3,17,224.83,B-03-C,2025-07-28
IMP-251,Closed Impeller,Impellers,23,5,321.21,F-07-C,
BEA-252,Thrust Bearing,Bearings,6,9,73.32,C-16-B,
BEA-253,Pillow Block Bearing,Bearings,14,12,84.1,F-02-B,
FIL-254,Oil Filter Cartridge,Filters,21,9,54.37,C-13-A,2025-12-03
CYL-255,Tie-Rod Cylinder,Cylinders,9,14,1015.97,D-16-C,
IMP-256,Open Impeller,Impellers,3,20,349.09,F-13-D,2025-07-24
PUM-257,Gear Pump,Pumps,8,12,1309.42,C-01-D,2025-08-25
BEL-258,Flat Belt 6in,Belts,8,12,94.6,A-17-C,
COI-259,Condenser Coil,Coils,24,9,531.93,D-12-D,2025-11-29
BEA-260,Thrust Bearing,Bearings,27,16,108.76,C-15-C,
CYL-261,Tie-Rod Cylinder,Cylinders,22,14,984.55,A-20-A,2025-11-16
ENC-262,Absolute Encoder,Encoders,28,16,891.39,A-11-B,2025-09-04
COM-263,Rotary Compressor,Compressors,21,12,2654.66,E-02-C,2025-11-26
COM-264,Scroll Compressor,Compressors,1,9,1951.36,F-05-C,2025-11-30
VAL-265,Solenoid Valve 24V,Valves,5,8,142.05,C-13-D,
PUM-266,Diaphragm Pump,Pumps,11,9,1499.48,F-11-A,2026-01-01
IMP-267,Semi-Open Impeller,Impellers,4,7,225.58,D-12-B,
SEA-268,O-Ring Set,Seals,25,5,195.35,B-15-C,
COI-269,Condenser Coil,Coils,23,17,396.09,E-06-C,2025-09-07
VAL-270,Solenoid Valve 24V,Valves,5,6,140.92,B-05-A,2025-08-16
HOS-271,Air Hose 50ft,Hoses,13,19,45.57,F-03-B,
THE-272,Wireless Thermostat,Thermostats,17,11,225.36,F-10-D,
SER-273,Servo Drive,Servos,17,15,1915.84,D-02-D,
BEA-274,Thrust Bearing,Bearings,11,7,124.34,B-15-A,
COI-275,Condenser Coil,Coils,22,8,505.67,D-13-D,2025-10-28
HOS-276,Chemical Transfer Hose,Hoses,7,6,57.61,E-06-B,2025-12-15
IMP-277,Pump Impeller 6in,Impellers,3,19,354.51,C-01-A,2025-10-06
COM-278,Scroll Compressor,Compressors,18,13,2430.21,B-16-D,2026-01-09
FAN-279,Axial Fan 24in,Fans,3,15,443.12,F-11-A,2025-11-13
IMP-280,Open Impeller,Impellers,3,10,313.07,E-07-B,2025-08-19
BEA-281,Ball Bearing SKF,Bearings,0,16,78.19,A-06-D,2025-08-26
HOS-282,Air Hose 50ft,Hoses,12,5,63.86,A-12-C,
THE-283,Analog Thermostat,Thermostats,12,7,215.44,C-02-A,2025-12-06
MOT-284,AC Motor 5HP,Motors,23,8,473.86,D-09-C,2025-09-25
HOS-285,Hydraulic Hose 1/2in,Hoses,8,19,42.17,D-15-A,2025-11-30
FAN-286,Exhaust Fan,Fans,28,15,323.2,A-12-B,2025-12-06
SEA-287,O-Ring Set,Seals,7,5,232.68,B-15-A,
FAN-288,Centrifugal Fan,Fans,14,15,330.51,E-10-C,2025-09-25
HOS-289,Air Hose 50ft,Hoses,26,10,77.75,F-20-D,2025-07-18
SER-290,Servo Drive,Servos,24,6,1266.46,D-05-C,2025-08-24
SER-291,Servo Gearbox,Servos,0,5,1674.09,B-10-B,2025-08-13
COI-292,Heating Coil,Coils,11,13,493.93,A-19-D,2025-11-19
FAN-293,Axial Fan 24in,Fans,23,16,361.52,D-19-C,2025-08-13
PUM-294,Diaphragm Pump,Pumps,12,12,860.4,F-06-A,2025-12-05
MOT-295,AC Motor 5HP,Motors,9,7,455.87,E-08-D,
IMP-296,Semi-Open Impeller,Impellers,14,7,284.09,A-18-A,2025-11-13
ENC-297,Linear Encoder,Encoders,23,20,741.29,E-17-D,2025-10-02
SEA-298,O-Ring Set,Seals,22,12,169.49,A-16-C,
COM-299,Scroll Compressor,Compressors,19,6,2117.82,D-17-B,2025-11-08
COM-300,Rotary Compressor,Compressors,16,18,2925.87,C-17-D,
ENC-301,Linear Encoder,Encoders,5,11,1001.88,C-05-D,2025-11-24
BEA-302,Ball Bearing SKF,Bearings,2,11,126.58,A-12-A,2025-12-28
COI-303,Evaporator Coil,Coils,2,18,510.14,B-04-C,2025-12-08
CYL-304,Tie-Rod Cylinder,Cylinders,23,14,619.98,A-09-C,
FAN-305,Exhaust Fan,Fans,20,6,443.2,E-02-B,2025-07-19
CYL-306,Welded Cylinder,Cylinders,1,14,954.74,C-04-A,
SEA-307,Shaft Seal Kit,Seals,2,16,150.75,F-18-B,2025-08-12
VAL-308,Check Valve 2in,Valves,15,10,159.1,F-05-D,2025-08-28
IMP-309,Open Impeller,Impellers,0,6,293.89,F-11-C,2025-09-22
COM-310,Screw Compressor,Compressors,13,10,2234.21,E-05-A,2025-11-19
FAN-311,Exhaust Fan,Fans,24,14,283.75,C-16-B,2025-11-25
MOT-312,DC Motor 3HP,Motors,23,16,449.06,D-11-C,2025-10-03
SEA-313,Mechanical Seal - Type A,Seals,24,9,195.3,D-14-D,
FAN-314,Exhaust Fan,Fans,11,15,326.0,E-13-A,2025-11-16
IMP-315,Semi-Open Impeller,Impellers,22,18,365.69,C-17-C,
HOS-316,Water Hose,Hoses,28,16,68.55,F-04-B,
PUM-317,Diaphragm Pump,Pumps,9,20,1266.39,E-18-A,
IMP-318,Open Impeller,Impellers,3,17,241.35,E-04-D,2025-10-28
SER-319,Servo Gearbox,Servos,6,18,1484.84,A-14-D,2025-08-23
BEL-320,V-Belt A-Section,Belts,0,5,59.85,C-13-A,
VAL-321,Pressure Relief Valve,Valves,13,11,191.07,F-09-C,2026-01-10
BEA-322,Pillow Block Bearing,Bearings,0,20,82.23,C-14-B,
FIL-323,Air Filter Element,Filters,10,17,53.12,C-08-A,2025-10-07
SEA-324,O-Ring Set,Seals,16,13,250.18,C-19-A,2025-08-07
SER-325,Servo Motor 2kW,Servos,6,12,1947.59,A-09-A,2025-12-31
FIL-326,Hydraulic Filter 10 Micron,Filters,9,9,56.59,F-02-C,2025-07-30
FIL-327,Air Filter Element,Filters,24,15,61.91,E-16-B,2025-12-21
SEA-328,Shaft Seal Kit,Seals,0,5,241.49,E-02-A,2025-12-29
CYL-329,Hydraulic Cylinder 4in,Cylinders,13,7,997.69,D-18-A,2025-11-11
BEL-330,Timing Belt,Belts,9,5,59.89,F-07-D,2025-09-08
FIL-331,Hydraulic Filter 10 Micron,Filters,23,20,58.33,E-07-B,2025-08-15
VAL-332,Pressure Relief Valve,Valves,26,11,194.09,E-07-C,2025-08-13
COI-333,Evaporator Coil,Coils,1,5,522.66,A-13-C,2025-12-18
COI-334,Heating Coil,Coils,18,14,372.64,A-11-A,2025-10-05
MOT-335,AC Motor 5HP,Motors,5,12,613.9,A-17-B,
FAN-336,Exhaust Fan,Fans,26,10,285.47,B-17-D,2025-08-18
COM-337,Rotary Compressor,Compressors,3,17,2912.84,B-07-B,2025-10-05
ENC-338,Incremental Encoder,Encoders,1,6,734.6,F-11-D,2025-11-26
MOT-339,Stepper Motor,Motors,3,13,377.38,F-11-D,2025-10-21
SER-340,Servo Motor 2kW,Servos,9,16,1427.71,F-08-B,
IMP-341,Closed Impeller,Impellers,8,10,312.6,F-01-A,
FAN-342,Cooling Fan,Fans,2,12,451.75,C-01-C,
ENC-343,Incremental Encoder,Encoders,0,17,920.93,C-06-C,2025-08-31
COI-344,Condenser Coil,Coils,15,14,554.91,D-13-B,
SER-345,Servo Drive,Servos,20,10,1492.93,B-16-C,
BEL-346,Flat Belt 6in,Belts,11,15,54.22,E-18-C,2026-01-02
COI-347,Condenser Coil,Coils,24,9,337.03,B-07-D,
BEA-348,Thrust Bearing,Bearings,15,12,111.42,D-07-A,
BEA-349,Pillow Block Bearing,Bearings,0,15,86.27,A-11-D,
BEL-350,V-Belt A-Section,Belts,18,6,93.75,A-11-A,2025-09-20
FAN-351,Axial Fan 24in,Fans,11,9,354.57,D-12-B,2025-12-30
COM-352,Screw Compressor,Compressors,19,10,2979.88,F-09-A,2025-08-06
THE-353,Programmable Thermostat,Thermostats,8,19,209.59,E-09-A,
THE-354,Analog Thermostat,Thermostats,21,11,208.32,F-07-B,2025-09-21
SER-355,Servo Drive,Servos,4,20,1741.89,F-09-A,
BEA-356,Thrust Bearing,Bearings,4,19,78.34,E-14-B,
HOS-357,Air Hose 50ft,Hoses,17,6,72.94,E-09-D,2025-09-12
MOT-358,DC Motor 3HP,Motors,10,9,374.0,A-03-D,2025-07-24
ENC-359,Incremental Encoder,Encoders,22,15,1070.11,B-13-B,2025-08-02
PUM-360,Centrifugal Pump 3HP,Pumps,24,19,1147.42,E-18-C,
CYL-361,Tie-Rod Cylinder,Cylinders,25,13,898.17,A-16-A,2025-12-31
BEL-362,Serpentine Belt,Belts,24,13,91.1,F-02-A,
CYL-363,Tie-Rod Cylinder,Cylinders,7,5,616.35,A-15-C,
IMP-364,Open Impeller,Impellers,20,11,288.27,F-12-A,2025-10-10
BEA-365,Thrust Bearing,Bearings,0,13,113.73,F-01-C,2025-09-13
BEL-366,V-Belt A-Section,Belts,21,16,95.45,E-19-C,2026-01-01
FAN-367,Centrifugal Fan,Fans,23,6,289.66,F-14-D,2025-07-15
ENC-368,Incremental Encoder,Encoders,4,16,848.26,C-11-D,2025-10-02
VAL-369,Check Valve 2in,Valves,23,16,136.46,C-11-C,2025-11-26
FIL-370,Oil Filter Cartridge,Filters,25,20,53.37,A-19-C,2025-12-28
MOT-371,Servo Motor,Motors,11,8,598.14,E-12-C,
ENC-372,Linear Encoder,Encoders,26,8,911.81,F-13-B,
BEL-373,Timing Belt,Belts,3,14,65.08,A-17-C,2025-10-09
CYL-374,Welded Cylinder,Cylinders,0,7,948.81,A-13-A,2025-11-27
FAN-375,Axial Fan 24in,Fans,26,16,261.66,A-09-A,2025-12-08
VAL-376,Solenoid Valve 24V,Valves,12,13,184.06,A-02-B,2025-08-19
COI-377,Heating Coil,Coils,6,17,578.92,E-04-C,2025-07-27
IMP-378,Semi-Open Impeller,Impellers,21,18,244.33,D-08-C,2025-09-05
BEL-379,V-Belt A-Section,Belts,0,20,78.84,E-10-D,2025-08-18
HOS-380,Water Hose,Hoses,29,18,61.69,A-14-D,2025-12-13
FIL-381,Air Filter Element,Filters,4,20,41.06,D-11-B,2025-08-31
CYL-382,Tie-Rod Cylinder,Cylinders,30,12,748.6,C-11-B,2025-09-01
THE-383,Digital Thermostat,Thermostats,25,19,130.52,A-11-A,2025-12-26
SER-384,Servo Drive,Servos,16,15,1941.73,A-13-B,2025-09-06
COM-385,Reciprocating Compressor,Compressors,10,5,2870.14,D-01-B,2025-09-07
BEA-386,Pillow Block Bearing,Bearings,23,11,110.01,B-12-C,
BEA-387,Pillow Block Bearing,Bearings,3,8,104.72,E-13-C,
VAL-388,Pressure Relief Valve,Valves,29,17,135.93,D-06-D,2025-08-25
BEA-389,Roller Bearing 6205,Bearings,10,9,76.98,D-12-A,
SER-390,Servo Gearbox,Servos,23,13,1614.1,E-01-A,
BEA-391,Thrust Bearing,Bearings,21,14,90.36,B-19-C,2025-08-14
SEA-392,O-Ring Set,Seals,15,9,232.11,E-09-B,
BEA-393,Ball Bearing SKF,Bearings,26,13,86.47,D-17-B,2025-11-21
SER-394,Servo Controller,Servos,15,20,1922.44,A-20-C,
COM-395,Reciprocating Compressor,Compressors,4,18,3004.38,E-20-C,
FIL-396,Fuel Filter,Filters,2,16,62.13,F-02-C,
MOT-397,AC Motor 5HP,Motors,4,10,555.95,C-20-B,2025-09-24
SER-398,Servo Motor 2kW,Servos,22,20,2149.09,C-07-B,2025-11-16
COI-399,Condenser Coil,Coils,20,6,472.1,F-06-B,2025-12-20
SER-400,Servo Motor 2kW,Servos,26,11,1260.38,B-20-C,2025-07-14
THE-401,Analog Thermostat,Thermostats,19,7,175.89,C-01-B,
FIL-402,Hydraulic Filter 10 Micron,Filters,28,6,37.89,F-20-D,
MOT-403,Stepper Motor,Motors,6,16,599.62,B-09-C,2025-11-28
IMP-404,Open Impeller,Impellers,5,13,257.06,B-14-C,2025-09-27
BEL-405,Serpentine Belt,Belts,11,15,59.12,A-07-B,2025-08-12
BEL-406,Timing Belt,Belts,20,13,69.33,B-12-D,2025-12-10
IMP-407,Open Impeller,Impellers,8,18,253.14,B-13-A,2025-08-01
HOS-408,Hydraulic Hose 1/2in,Hoses,23,11,67.37,E-08-B,
COI-409,Evaporator Coil,Coils,13,8,435.8,A-16-C,2025-12-18
BEL-410,Timing Belt,Belts,3,17,91.24,C-15-A,2025-09-11
HOS-411,Water Hose,Hoses,18,10,57.69,E-04-C,2025-10-05
BEL-412,Flat Belt 6in,Belts,9,7,53.1,D-05-A,
BEL-413,Serpentine Belt,Belts,25,17,72.93,F-06-B,2025-07-18
VAL-414,Ball Valve 1/2in,Valves,23,15,146.07,D-18-A,2025-09-18
BEL-415,Flat Belt 6in,Belts,25,15,65.7,D-06-A,2025-07-23
PUM-416,Diaphragm Pump,Pumps,16,11,1548.21,D-05-D,
FAN-417,Axial Fan 24in,Fans,26,8,350.95,F-11-B,
THE-418,Programmable Thermostat,Thermostats,10,15,132.24,D-17-A,2025-09-08
FAN-419,Axial Fan 24in,Fans,15,18,272.36,D-04-C,
MOT-420,Stepper Motor,Motors,2,19,517.2,D-11-A,
MOT-421,DC Motor 3HP,Motors,9,20,486.77,D-04-C,
COI-422,Evaporator Coil,Coils,23,13,537.1,E-10-B,
IMP-423,Closed Impeller,Impellers,28,19,345.87,D-06-B,2025-11-26
MOT-424,Stepper Motor,Motors,29,14,479.24,D-18-A,2025-11-27
THE-425,Analog Thermostat,Thermostats,4,6,129.06,A-01-D,2025-12-07
SER-426,Servo Gearbox,Servos,16,12,1299.03,C-03-C,2025-11-04
BEL-427,V-Belt A-Section,Belts,14,18,61.78,D-02-B,2025-09-13
SEA-428,Face Seal Assembly,Seals,4,19,149.39,D-01-D,
HOS-429,Hydraulic Hose 1/2in,Hoses,17,9,65.2,D-16-C,2025-11-07
CYL-430,Pneumatic Cylinder,Cylinders,12,16,1006.55,F-15-C,2026-01-03
SEA-431,Mechanical Seal - Type A,Seals,6,20,154.62,F-19-B,
THE-432,Digital Thermostat,Thermostats,25,8,197.28,D-17-C,
COM-433,Rotary Compressor,Compressors,2,18,2308.22,F-16-C,2025-08-05
CYL-434,Welded Cylinder,Cylinders,3,19,902.82,D-17-A,2025-12-09
HOS-435,Air Hose 50ft,Hoses,16,8,62.38,A-08-D,
SEA-436,O-Ring Set,Seals,26,20,162.94,C-02-D,
VAL-437,Solenoid Valve 24V,Valves,19,20,136.24,C-02-C,2025-07-14
CYL-438,Welded Cylinder,Cylinders,16,20,769.43,B-12-B,
COI-439,Condenser Coil,Coils,21,20,381.24,C-10-B,2025-12-27
CYL-440,Welded Cylinder,Cylinders,23,9,865.96,E-16-D,
FIL-441,Air Filter Element,Filters,8,16,46.92,B-19-D,
BEL-442,Flat Belt 6in,Belts,20,11,69.5,E-03-A,2025-10-11
ENC-443,Absolute Encoder,Encoders,30,5,738.57,A-08-D,2025-12-12
BEL-444,Timing Belt,Belts,0,14,55.08,E-20-C,2025-10-02
FAN-445,Centrifugal Fan,Fans,18,17,421.42,D-02-C,2025-09-23
SEA-446,Shaft Seal Kit,Seals,3,5,165.97,C-17-A,
BEL-447,Serpentine Belt,Belts,21,19,73.41,A-17-A,2025-12-20
FIL-448,Air Filter Element,Filters,7,17,45.07,D-14-B,2025-09-04
THE-449,Programmable Thermostat,Thermostats,12,16,207.78,F-10-C,2025-12-24
SER-450,Servo Drive,Servos,4,11,1641.87,F-02-B,
SEA-451,Mechanical Seal - Type A,Seals,28,16,157.44,D-12-A,2025-09-21
THE-452,Analog Thermostat,Thermostats,8,10,185.19,E-15-B,2026-01-03
SER-453,Servo Motor 2kW,Servos,5,11,1280.72,F-20-C,
COI-454,Heating Coil,Coils,9,7,546.57,E-19-B,2025-08-24
